time, alt, thrust, weight, ADC_guess, ADC_actual, ADC_adj, ADC_error, A_raw, A_total, A_h, A_v, bigG, V_as, V_horiz_mph, V_vert_inc, V_vert 
0.0, 0, 32781450.5440, 25417828.5900, 0.000000476, 0.00000000, 0.000000, 0.0000000, 1.2804871, 1.2804871, 0.00000000, 0.28315, 0.9973364021, 0.000000, 912.670000, 0.0, 0.00000000
1.0, 5, 37467183.6058, 25304537.1612, 0.000199274, 0.00015680, 0.000157, -0.0000003, 1.4621301, 1.4619731, 0.00000000, 0.46464, 0.9973364014, 8.107277, 912.670000, 1.5, 11.89067353
2.0, 26, 41077769.7640, 25177393.2790, 0.001128066, 0.00098890, 0.000989, -0.0000003, 1.6315167, 1.6305276, 0.00000000, 0.63319, 0.9973363988, 20.367792, 912.670000, 2.0, 29.87276197
3.0, 66, 41083759.7551, 25045450.9706, 0.003040653, 0.00280679, 0.002807, -0.0000004, 1.6403387, 1.6401080, 0.00000000, 0.64277, 0.9973363937, 34.338993, 912.670000, 2.1, 50.36385607
4.0, 127, 41092814.2235, 24913514.3921, 0.005906134, 0.00557665, 0.005577, -0.0000003, 1.6493767, 1.6438001, 0.00000000, 0.64646, 0.9973363860, 48.455781, 912.670000, 2.1, 71.06847925
5.0, 208, 41104945.6486, 24781585.9283, 0.009735500, 0.00930945, 0.009309, -0.0000004, 1.6586345, 1.6493251, 0.00000000, 0.65199, 0.9973363756, 62.699108, 912.670000, 2.1, 91.95869243
6.0, 311, 41120158.2336, 24649667.9666, 0.014489559, 0.01400869, 0.014009, -0.0000005, 1.6681157, 1.6541070, 0.00000000, 0.65677, 0.9973363625, 77.055478, 912.670000, 2.1, 113.01470141
7.0, 432, 41138188.8577, 24517762.8362, 0.019564104, 0.01898934, 0.018989, -0.0000003, 1.6778152, 1.6588258, 0.63307015, 0.53600, 0.9972597713, 89.912164, 925.695937, 1.7, 130.47994748
8.0, 572, 41158694.9329, 24385872.5555, 0.026147292, 0.02542158, 0.025422, -0.0000003, 1.6877204, 1.6622988, 0.63584350, 0.53870, 0.9971767224, 104.294211, 939.615768, 1.7, 147.77136522
9.0, 728, 41181655.4727, 24253999.0188, 0.034222971, 0.03334977, 0.033350, -0.0000004, 1.6978334, 1.6644836, 0.63761123, 0.54042, 0.9970921273, 119.794955, 953.585354, 1.7, 165.13367306
10.0, 902, 41207043.8304, 24122144.0969, 0.043748080, 0.04273236, 0.042732, -0.0000005, 1.7081565, 1.6654241, 0.63840833, 0.54119, 0.9970061068, 136.032399, 967.582999, 1.7, 182.53593941
11.0, 1093, 41234825.1796, 23990309.6297, 0.054665276, 0.05351315, 0.053513, -0.0000003, 1.7186915, 1.6651783, 0.63828046, 0.54106, 0.9969187835, 152.758438, 981.587892, 1.7, 199.94849123
12.0, 1302, 41264956.8898, 23858497.4202, 0.066903172, 0.06562251, 0.065623, -0.0000003, 1.7294400, 1.6638175, 0.63728309, 0.54009, 0.9968302809, 169.805703, 995.580335, 1.7, 217.34324078
13.0, 1528, 41297388.9764, 23726709.2277, 0.080379489, 0.07897903, 0.078979, -0.0000003, 1.7404033, 1.6614243, 0.63548033, 0.53834, 0.9967407206, 187.056492, 1009.541942, 1.7, 234.69397334
14.0, 1771, 41332064.6171, 23594946.7619, 0.095001790, 0.09349116, 0.093491, -0.0000004, 1.7515826, 1.6580914, 0.63294370, 0.53587, 0.9966502214, 204.424811, 1023.455817, 1.7, 251.97660338
15.0, 2032, 41368920.7202, 23463211.6780, 0.110669609, 0.10905916, 0.109059, -0.0000004, 1.7629786, 1.6539194, 0.62975080, 0.53277, 0.9965588968, 221.845847, 1037.306703, 1.7, 269.16938618
16.0, 2309, 41407888.7642, 23331505.5713, 0.127262012, 0.12556848, 0.125568, -0.0000004, 1.7745918, 1.6490233, 0.61599045, 0.53318, 0.9964670754, 239.261536, 1051.048205, 1.7, 286.27272697
17.0, 2604, 41448906.3357, 23199829.9766, 0.144630181, 0.14286038, 0.142860, -0.0000004, 1.7864232, 1.6435628, 0.61178536, 0.52907, 0.9963759064, 256.591204, 1064.515756, 1.7, 303.36223640
18.0, 2916, 41491901.6222, 23068186.3701, 0.162699568, 0.16086472, 0.160865, -0.0000004, 1.7984732, 1.6376085, 0.60719087, 0.52459, 0.9962842381, 273.848724, 1077.886633, 1.7, 320.31337832
19.0, 3245, 41536792.4249, 22936576.1590, 0.181357957, 0.17946925, 0.179469, -0.0000005, 1.8107419, 1.6312727, 0.60229395, 0.51981, 0.9961921483, 291.011879, 1091.153247, 1.7, 337.11531777
20.0, 3590, 41583499.6705, 22805000.6781, 0.200409927, 0.19848775, 0.198488, -0.0000005, 1.8232295, 1.6247417, 0.58723909, 0.51879, 0.9961010165, 308.005836, 1104.123983, 1.7, 353.86799988
21.0, 3953, 41631946.1403, 22673461.1954, 0.219815817, 0.21786256, 0.217863, -0.0000005, 1.8359361, 1.6180735, 0.58207184, 0.51373, 0.9960098391, 324.863690, 1116.949629, 1.7, 370.47852058
22.0, 4331, 41682042.1880, 22541958.9059, 0.239471256, 0.23750228, 0.237502, -0.0000005, 1.8488615, 1.6113593, 0.57686371, 0.50863, 0.9959184265, 341.588076, 1129.661331, 1.6, 386.92539107
23.0, 4726, 41733703.9141, 22410494.9282, 0.259178450, 0.25720426, 0.257204, -0.0000005, 1.8620057, 1.6048014, 0.56177288, 0.50743, 0.9958283231, 358.103213, 1142.051479, 1.6, 403.32546122
24.0, 5138, 41782847.9663, 22279070.3114, 0.278940393, 0.27696496, 0.276965, -0.0000005, 1.8753686, 1.5984037, 0.55680324, 0.50254, 0.9957381274, 374.475730, 1154.320224, 1.6, 419.57240241
25.0, 5565, 41797381.5212, 22147775.1988, 0.298589851, 0.29664016, 0.296640, -0.0000005, 1.8871362, 1.5904960, 0.54063834, 0.50013, 0.9956482852, 390.670005, 1166.411645, 1.6, 435.67216721
26.0, 6009, 41813217.9552, 22016683.1238, 0.317977760, 0.31604983, 0.316050, -0.0000005, 1.8990862, 1.5830363, 0.53481873, 0.49439, 0.9955597311, 406.629433, 1178.207163, 1.6, 451.67025931
27.0, 6469, 41830264.4352, 21885794.4402, 0.337109211, 0.33520998, 0.335210, -0.0000005, 1.9112173, 1.5760073, 0.52933284, 0.48897, 0.9954712245, 422.423068, 1189.878578, 1.6, 467.48870414
28.0, 6944, 41848429.1298, 21755109.4120, 0.355801081, 0.35395074, 0.353951, -0.0000004, 1.9235281, 1.5695774, 0.51431421, 0.48753, 0.9953839916, 437.996951, 1201.269937, 1.6, 483.22472402
29.0, 7435, 41867627.2792, 21624628.2208, 0.374089564, 0.37227984, 0.372280, -0.0000004, 1.9360177, 1.5637379, 0.50975766, 0.48301, 0.9952971602, 453.406860, 1212.501568, 1.6, 498.83662354
30.0, 7942, 41887766.8353, 21494350.9676, 0.391945781, 0.39018130, 0.390181, -0.0000004, 1.9486847, 1.5585034, 0.50567647, 0.47897, 0.9952102563, 468.687801, 1223.638389, 1.5, 514.31070290
31.0, 8464, 41908757.3794, 21364277.6724, 0.409327051, 0.40761179, 0.407612, -0.0000004, 1.9615277, 1.5539159, 0.50210513, 0.47543, 0.9951232145, 483.854500, 1234.691216, 1.5, 529.66268864
32.0, 9001, 41930510.7339, 21234408.2780, 0.426196901, 0.42453425, 0.424534, -0.0000004, 1.9745454, 1.5500112, 0.49907318, 0.47242, 0.9950359609, 498.922743, 1245.671566, 1.5, 544.90932500
33.0, 9554, 41952941.0792, 21104742.6548, 0.442524539, 0.44091733, 0.440917, -0.0000004, 1.9877366, 1.5468193, 0.49660560, 0.46998, 0.9949484130, 513.909215, 1256.591553, 1.5, 560.06822233
34.0, 10121, 41975965.0323, 20975280.6036, 0.458284288, 0.45673487, 0.456735, -0.0000004, 2.0011002, 1.5443653, 0.49472321, 0.46811, 0.9948604810, 528.831357, 1267.463795, 1.5, 575.15771790
35.0, 10704, 41999501.6904, 20846021.8602, 0.473455020, 0.47196533, 0.471965, -0.0000004, 2.0146351, 1.5426698, 0.49344305, 0.46684, 0.9947720680, 543.707233, 1278.301320, 1.5, 590.19674989
36.0, 11302, 42023472.6446, 20716966.0991, 0.488019580, 0.48659116, 0.486591, -0.0000003, 2.0283403, 1.5417492, 0.49277885, 0.46618, 0.9946830709, 558.555419, 1289.117497, 1.5, 605.20474471
37.0, 11914, 42047801.9663, 20588112.9370, 0.501964235, 0.50059832, 0.500598, -0.0000003, 2.0422151, 1.5416168, 0.49274142, 0.46615, 0.9945933803, 573.394898, 1299.925960, 1.5, 620.20151789
38.0, 12542, 42072416.1710, 20459461.9367, 0.515278137, 0.51397570, 0.513976, -0.0000003, 2.0562586, 1.5422829, 0.49333904, 0.46674, 0.9945028815, 588.244973, 1310.740555, 1.5, 635.20718821
39.0, 13185, 42097244.1628, 20331012.6103, 0.527952817, 0.52671461, 0.526715, -0.0000003, 2.0704701, 1.5437555, 0.49457793, 0.46797, 0.9944114546, 603.125191, 1321.575285, 1.5, 650.24210467
40.0, 13842, 42122217.1628, 20202764.4228, 0.539981712, 0.53880832, 0.538808, -0.0000003, 2.0848491, 1.5460408, 0.49646252, 0.46983, 0.9943189746, 618.055285, 1332.444267, 1.5, 665.32678563
41.0, 14515, 42147268.6251, 20074716.7951, 0.551359734, 0.55025161, 0.550252, -0.0000003, 2.0993951, 1.5491435, 0.49899588, 0.47234, 0.9942253120, 633.055117, 1343.361703, 1.5, 680.48186947
42.0, 15203, 42172334.1420, 19946869.1072, 0.562082621, 0.56104037, 0.561040, -0.0000003, 2.1141077, 1.5530673, 0.50218000, 0.47550, 0.9941303327, 648.144644, 1354.341847, 1.5, 695.72807589
43.0, 15907, 42197351.3435, 19819220.7012, 0.572147595, 0.57117127, 0.571171, -0.0000005, 2.1289865, 1.5578152, 0.50601608, 0.47930, 0.9940338984, 663.343884, 1365.398991, 1.5, 711.08617748
44.0, 16626, 42222259.7898, 19691770.8836, 0.581551499, 0.58064137, 0.580641, -0.0000004, 2.1440314, 1.5633900, 0.51050481, 0.48375, 0.9939358661, 678.672894, 1376.547444, 1.6, 726.57697732
45.0, 17360, 42251000.8624, 19564518.9287, 0.590291991, 0.58944792, 0.589448, -0.0000004, 2.1592423, 1.5697943, 0.51564661, 0.48884, 0.9938360887, 694.151763, 1387.801528, 1.6, 742.22130033
46.0, 18110, 42315518.3595, 19437377.8099, 0.598438635, 0.59763744, 0.597637, -0.0000004, 2.1766865, 1.5790491, 0.53303569, 0.49262, 0.9937341586, 709.830052, 1399.204146, 1.6, 758.05986977
47.0, 18876, 42379755.1987, 19310276.5090, 0.606124478, 0.60538338, 0.605383, -0.0000004, 2.1943417, 1.5889584, 0.54093302, 0.50041, 0.9936279886, 725.834317, 1410.982751, 1.6, 774.03304811
48.0, 19658, 42443656.8678, 19183214.7109, 0.613256971, 0.61256185, 0.612562, -0.0000003, 2.2122092, 1.5996473, 0.55943396, 0.50510, 0.9935187778, 742.116106, 1422.996292, 1.6, 790.23721108
49.0, 20457, 42507168.0697, 19056192.0699, 0.619867706, 0.61923522, 0.619235, -0.0000003, 2.2302901, 1.6110548, 0.56848894, 0.51400, 0.9934053515, 758.738595, 1435.366659, 1.7, 806.62994336
50.0, 21272, 42570236.4875, 18929208.2094, 0.625954554, 0.62537149, 0.625371, -0.0000003, 2.2485859, 1.6232144, 0.58812138, 0.51962, 0.9932877074, 775.709657, 1448.084851, 1.7, 823.23832767
51.0, 22103, 42632808.4219, 18802262.7239, 0.631478224, 0.63094658, 0.630947, -0.0000003, 2.2670982, 1.6361516, 0.60834879, 0.52567, 0.9931657452, 793.041948, 1461.152420, 1.7, 840.08455130
52.0, 22952, 42694831.4092, 18675355.1785, 0.636428269, 0.63596405, 0.635964, -0.0000005, 2.2858283, 1.6498642, 0.61916726, 0.53622, 0.9930389445, 810.766269, 1474.615112, 1.7, 857.16551791
53.0, 23818, 42756255.0892, 18548485.1110, 0.640826672, 0.64041773, 0.640418, -0.0000004, 2.3047780, 1.6643603, 0.64058014, 0.54323, 0.9929068657, 828.908911, 1488.508230, 1.7, 874.48309278
54.0, 24701, 42817029.4454, 18421652.0317, 0.644605482, 0.64425400, 0.644254, -0.0000003, 2.3239492, 1.6796951, 0.66262756, 0.55069, 0.9927697909, 847.466189, 1502.790401, 1.8, 892.08648570
55.0, 25602, 42877104.9994, 18294855.4257, 0.647771049, 0.64747933, 0.647479, -0.0000003, 2.3433435, 1.6958641, 0.68530329, 0.55859, 0.9926270534, 866.473784, 1517.519144, 1.8, 909.96511849
56.0, 26521, 42936433.0036, 18168094.7521, 0.650289548, 0.65006622, 0.650066, -0.0000004, 2.3629630, 1.7128967, 0.69862732, 0.57146, 0.9924784971, 885.946107, 1532.697370, 1.8, 928.14227159
57.0, 27458, 42994966.8267, 18041369.4460, 0.652169924, 0.65201666, 0.652017, -0.0000003, 2.3828097, 1.7307931, 0.72259674, 0.58040, 0.9923234116, 905.918786, 1548.383381, 1.9, 946.60505530
58.0, 28414, 43052659.4562, 17914678.9188, 0.653387841, 0.65330116, 0.653301, -0.0000004, 2.4028859, 1.7495847, 0.74723309, 0.58981, 0.9921616078, 926.406678, 1564.580636, 1.9, 965.37628276
59.0, 29389, 43109465.7501, 17788022.5588, 0.653902949, 0.65388517, 0.653885, -0.0000004, 2.4231938, 1.7693088, 0.77256174, 0.59972, 0.9919929962, 947.421489, 1581.282118, 1.9, 984.48771038
60.0, 30383, 42050207.0634, 17661399.7326, 0.653604688, 0.65375694, 0.653757, 0.0000003, 2.4437359, 1.7899789, 0.79859018, 0.61013, 0.9918170333, 968.991494, 1598.524952, 2.0, 1003.94110089
61.0, 31395, 36860141.2611, 17553201.6194, 0.642743515, 0.64408826, 0.644088, 0.0000003, 2.0996011, 1.4555128, 0.42602765, 0.40006, 0.9916962538, 984.387959, 1610.239832, 1.3, 1018.69052337
62.0, 32421, 36913592.9533, 17451006.4694, 0.629467057, 0.63078143, 0.630781, 0.0000003, 2.1149674, 1.4841859, 0.44917388, 0.42298, 0.9915965345, 997.560923, 1619.839951, 1.4, 1031.93154954
63.0, 33459, 36965689.6892, 17348811.3194, 0.616448387, 0.61774062, 0.617741, 0.0000003, 2.1304365, 1.5126959, 0.47206526, 0.44565, 0.9914909398, 1011.444457, 1629.944884, 1.4, 1045.90572957
64.0, 34513, 37016447.0266, 17246616.1694, 0.603609787, 0.60488729, 0.604887, 0.0000003, 2.1460112, 1.5411239, 0.49477739, 0.46815, 0.9913794200, 1026.031987, 1640.549887, 1.5, 1060.60639663
65.0, 35581, 37065877.2200, 17144421.0194, 0.590881237, 0.59215068, 0.592151, 0.0000003, 2.1616941, 1.5695434, 0.51737726, 0.49054, 0.9912619054, 1041.319131, 1651.651778, 1.6, 1076.02913692
66.0, 36665, 37113931.3969, 17042225.8694, 0.578351986, 0.57958058, 0.579581, 0.0000003, 2.1774856, 1.5979051, 0.55983438, 0.50548, 0.9911366765, 1057.372812, 1663.401830, 1.6, 1092.08967311
67.0, 37765, 37160256.8488, 16940030.7194, 0.566257640, 0.56745188, 0.567452, 0.0000003, 2.1933669, 1.6259150, 0.59192778, 0.52332, 0.9910011755, 1074.285187, 1676.024470, 1.7, 1108.64732328
68.0, 38882, 37204849.7903, 16837835.5694, 0.554513110, 0.55567026, 0.555670, 0.0000003, 2.2093378, 1.6536676, 0.63373949, 0.53654, 0.9908562169, 1092.000949, 1689.424695, 1.7, 1125.72587444
69.0, 40017, 37247748.9420, 16735640.4194, 0.543051306, 0.54418711, 0.544187, 0.0000003, 2.2254024, 1.6812153, 0.66531821, 0.55325, 0.9907011808, 1110.525856, 1703.640751, 1.8, 1143.27861141
70.0, 41169, 37288991.4689, 16633445.2694, 0.531801344, 0.53292076, 0.532921, 0.0000003, 2.2415645, 1.7086438, 0.69673638, 0.56958, 0.9905364931, 1129.826443, 1718.613506, 1.8, 1161.32112854
71.0, 42340, 37328613.8562, 16531250.1194, 0.520718209, 0.52181778, 0.521818, 0.0000003, 2.2578282, 1.7360105, 0.73804331, 0.58093, 0.9903620893, 1149.890579, 1734.328984, 1.9, 1179.84637662
72.0, 43529, 37366651.7738, 16429054.9694, 0.509751634, 0.51084320, 0.510843, 0.0000003, 2.2741977, 1.7633545, 0.76927373, 0.59651, 0.9901775190, 1170.720695, 1750.807118, 1.9, 1198.82673877
73.0, 44737, 37403140.2250, 16326859.8194, 0.498862417, 0.49994908, 0.499949, 0.0000003, 2.2906769, 1.7907278, 0.80047127, 0.61186, 0.9899829240, 1192.299514, 1768.013840, 2.0, 1218.27397425
74.0, 45966, 37438113.7773, 16224664.6694, 0.488020634, 0.48910502, 0.489105, 0.0000003, 2.3072701, 1.8181651, 0.83166556, 0.62701, 0.9897780659, 1214.624057, 1785.948713, 2.0, 1238.17932548
75.0, 47214, 37471606.7388, 16122469.5194, 0.448946013, 0.44984463, 0.449845, 0.0000004, 2.3239816, 1.8741368, 0.88458761, 0.66265, 0.9895624134, 1237.725266, 1804.635724, 2.1, 1258.56834819
76.0, 48484, 37503677.0124, 15449454.6113, 0.440755522, 0.44158502, 0.441585, 0.0000004, 2.4273046, 1.9857196, 1.02942966, 0.70871, 0.9893051380, 1264.309151, 1826.686145, 2.3, 1281.17519649
77.0, 49776, 37534373.4908, 15347259.4613, 0.432322582, 0.43317715, 0.433177, 0.0000004, 2.4454767, 2.0122995, 1.05967809, 0.72162, 0.9890343382, 1291.724653, 1849.610871, 2.3, 1304.17463312
78.0, 51092, 37563722.5862, 15245064.3113, 0.423641142, 0.42452028, 0.424520, 0.0000004, 2.4638038, 2.0392835, 1.09020056, 0.73463, 0.9887521198, 1319.835112, 1873.202155, 2.4, 1327.59074678
79.0, 52432, 37591751.9170, 15142869.1613, 0.414717172, 0.41562021, 0.415620, 0.0000004, 2.4822910, 2.0666708, 1.12099664, 0.74774, 0.9884581040, 1348.648084, 1897.466008, 2.4, 1351.42687277
80.0, 53795, 37618490.1362, 15040674.0113, 0.405558421, 0.40648450, 0.406485, 0.0000004, 2.5009433, 2.0944588, 1.15206478, 0.76096, 0.9881518996, 1378.171118, 1922.408416, 2.4, 1375.68639472
